From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
4509;7542;sea;2585;-1;-1;-1;-1;;Papua-Japen
10251;1329;sea;430;5112;550;5122;559;;Papua-New Britain
7251;4421;sea;7010;-1;-1;-1;-1;;New Britain-Latangai
13021;13022;sea;8673;-1;-1;-1;-1;;Gilbert Islands
4268;4231;sea;5741;-1;-1;-1;-1;;New Caledonia 1
1237;12120;sea;5660;-1;-1;-1;-1;;New Caledonia 2
12632;1814;sea;5637;-1;-1;-1;-1;;North-South NZ Islands
10231;10248;sea;430;-1;-1;-1;-1;;New Guinea-Fergusson
12246;10288;sea;5513;-1;-1;-1;-1;;Cobourg-Australia
1042;7437;sea;6819;-1;-1;-1;-1;;San Cristobal-Guadalcanal
4292;10319;sea;5868;-1;-1;-1;-1;;Guadalcanal-Munda
10319;12265;sea;5868;-1;-1;-1;-1;;Munda-Choiseul
12265;4252;sea;5868;-1;-1;-1;-1;;Choiseul-Santa Isabel
4252;1085;sea;5868;-1;-1;-1;-1;;Santa Isabel-Malaita
1085;10291;sea;5868;-1;-1;-1;-1;;Malaita-Guadalcanal
1742;7868;sea;2510;-1;-1;-1;-1;;Sakhalin-Siberia
12661;7884;sea;8538;-1;-1;-1;-1;;Kodiak-Alaska
11985;1025;sea;7932;-1;-1;-1;-1;;Japan-Kyushu
4094;7212;sea;8791;-1;-1;-1;-1;;Shikoku-Chugoku
9965;7072;sea;8791;-1;-1;-1;-1;;Shikoku-Kansai
1399;1515;sea;220;-1;-1;-1;-1;;Kurils 1
1515;13037;sea;5614;-1;-1;-1;-1;;Kurils 2
13037;4646;sea;4465;-1;-1;-1;-1;;Kurils-Hokkaido
9952;1117;sea;2658;-1;-1;-1;-1;;Niigata-Sado
10092;7046;sea;8791;-1;-1;-1;-1;;Kyushu-Shikoku
4198;12032;sea;8472;-1;-1;-1;-1;;Kanoya-Yokushima
11948;1177;sea;2708;-1;-1;-1;-1;;Jeju-Korea
10124;1123;sea;8499;-1;-1;-1;-1;;Okinawa 1
1123;7115;sea;8318;-1;-1;-1;-1;;Okinawa 2
3995;13024;sea;2855;-1;-1;-1;-1;;Saipan-Tinian
13023;13024;sea;2855;-1;-1;-1;-1;;Saipan-Tinian
1135;13090;sea;6471;-1;-1;-1;-1;;Amlia-Unalaska
13090;10694;sea;6064;-1;-1;-1;-1;;Unalaska-Unimak
10048;7195;sea;8384;-1;-1;-1;-1;;Hawaii-Maui
7195;4180;sea;8410;-1;-1;-1;-1;;Maui-Honolulu
4180;7112;sea;5339;-1;-1;-1;-1;;Honolulu-Kauai
12148;10188;sea;8660;-1;-1;-1;-1;;Tahiti-Raiatea
7290;13080;sea;9081;-1;-1;-1;-1;;Samoan Islands
4286;12159;sea;8289;-1;-1;-1;-1;;Fiji-Sanua Levu
13055;13056;sea;8419;-1;-1;-1;-1;;Nukufetau-Funafuti
13056;13057;sea;8419;-1;-1;-1;-1;;Funafuti-Nukulaelae
13027;13028;sea;2735;-1;-1;-1;-1;;Ngulu-Yap
13029;13028;sea;2735;-1;-1;-1;-1;;Ulithi-Yap
2489;13033;sea;7918;-1;-1;-1;-1;;Truk-Hall Islands
13041;13044;sea;7287;-1;-1;-1;-1;;Carolines 1
13042;13043;sea;2414;-1;-1;-1;-1;;Carolines 2
10276;7669;sea;5263;-1;-1;-1;-1;;Tiwi-Darwin
12910;7567;sea;5771;-1;-1;-1;-1;;Adelaide-Kangaroo Island
4526;153;sea;2571;-1;-1;-1;-1;;Curacao-Zulia
10767;3284;sea;2597;-1;-1;-1;-1;;Miranda-Trinidad
13012;3284;sea;2597;-1;-1;-1;-1;;Tobago-Trinidad
11106;379;sea;5533;-1;-1;-1;-1;;Grenada-St Vincent
379;11350;sea;5533;-1;-1;-1;-1;;St Vincent-Barbados
379;13009;sea;5533;-1;-1;-1;-1;;St Vincent-St Lucia
13009;177;sea;5533;-1;-1;-1;-1;;St Lucia-Martinique
177;7123;sea;5533;-1;-1;-1;-1;;Martinique-Dominica
7123;9377;sea;5533;-1;-1;-1;-1;;Dominica-Guadeloupe
9377;4450;sea;2887;-1;-1;-1;-1;;Guadeloupe-Montserrat
4450;13084;sea;2887;-1;-1;-1;-1;;Montserrat-Anguilla
13084;4155;sea;5507;-1;-1;-1;-1;;Anguilla-Virgin Islands
1440;4155;sea;5507;-1;-1;-1;-1;;Puerto Rico-Virgin Islands
10203;9805;sea;5864;-1;-1;-1;-1;;Corfu-Epirus
1106;12001;sea;5913;-1;-1;-1;-1;;Lefkada-Epirus
3401;7127;sea;6801;-1;-1;-1;-1;;Cyclades-Greece
8435;6864;sea;7452;-1;-1;-1;-1;;Lesbos-Turkey
6550;4112;sea;7226;-1;-1;-1;-1;;Chios-Turkey
7003;9941;sea;7226;-1;-1;-1;-1;;Kos-Bodrum
10007;10122;sea;7226;-1;-1;-1;-1;;Rhodes-Turkey
9833;11829;sea;5412;-1;-1;-1;-1;;Bosphorus
9859;3962;sea;5946;-1;-1;-1;-1;;Tsugaru Strait
10011;7110;sea;2708;4825;1219;-1;-1;;Tushima-Kyushu
4160;1070;sea;5244;-1;-1;-1;-1;;Hainan-Strait
1712;12147;sea;8978;-1;-1;-1;-1;;Quebec-Strait
3691;7813;sea;6261;-1;-1;-1;-1;;Cold Ass-Strait
1420;12231;sea;5257;-1;-1;-1;-1;;Vancouver-Strait
11047;198;sea;8370;-1;-1;-1;-1;;Barents-Strait
11157;3145;sea;5792;-1;-1;-1;-1;;Northern-Straits
11090;91;sea;5792;-1;-1;-1;-1;;Northern-Straits
44;11050;sea;5792;-1;-1;-1;-1;;Northern-Straits
22;3016;sea;5792;-1;-1;-1;-1;;Northern-Straits
6062;6205;sea;3590;-1;-1;-1;-1;;West Scottish-Strait
8435;6550;sea;7452;-1;-1;-1;-1;;Aegan Isle-Strait
7304;4360;sea;8614;-1;-1;-1;-1;;New Foundland-Strait
5407;5382;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar North
5407;2400;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar South
2455;2506;;-1;-1;-1;-1;-1;DANISH_BELTS_STRAIT;Øresund
5412;7678;;-1;-1;-1;-1;-1;BOSPHORUS_STRAIT;Bosphorus
10825;1991;impassable;-1;-1;-1;-1;-1;;Himalayas
10825;8029;impassable;-1;-1;-1;-1;-1;;Himalayas
10910;1991;impassable;-1;-1;-1;-1;-1;;Himalayas
10910;12807;impassable;-1;-1;-1;-1;-1;;Himalayas
12730;2098;impassable;-1;-1;-1;-1;-1;;Himalayas
12730;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
10810;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;8041;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;5102;impassable;-1;-1;-1;-1;-1;;Himalayas
4318;5102;impassable;-1;-1;-1;-1;-1;;Himalayas
1898;8029;impassable;-1;-1;-1;-1;-1;;Himalayas
1898;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
3989;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
1129;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
4558;10826;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4558;12653;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4558;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
12763;10826;impassable;-1;-1;-1;-1;-1;;peshawar mountains
2084;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
10821;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4998;12831;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4998;5082;impassable;-1;-1;-1;-1;-1;;peshawar mountains
1978;5082;impassable;-1;-1;-1;-1;-1;;peshawar mountains
1978;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
7975;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
8044;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
8044;5064;impassable;-1;-1;-1;-1;-1;;peshawar mountains
12805;7519;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12805;5087;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12805;1766;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
10417;7519;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
10417;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
8027;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
7224;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
7224;12314;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12218;12314;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12370;1766;impassable;-1;-1;-1;-1;-1;;pamir mountains
12370;12119;impassable;-1;-1;-1;-1;-1;;pamir mountains
5062;12119;impassable;-1;-1;-1;-1;-1;;pamir mountains
5062;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4768;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;1703;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;12526;impassable;-1;-1;-1;-1;-1;;pamir mountains
10863;12363;impassable;-1;-1;-1;-1;-1;;china mountains
10863;4210;impassable;-1;-1;-1;-1;-1;;china mountains
7976;4210;impassable;-1;-1;-1;-1;-1;;china mountains
5009;4210;impassable;-1;-1;-1;-1;-1;;china mountains
10413;4210;impassable;-1;-1;-1;-1;-1;;china mountains
10413;7400;impassable;-1;-1;-1;-1;-1;;china mountains
10413;7909;impassable;-1;-1;-1;-1;-1;;china mountains
12789;4318;impassable;-1;-1;-1;-1;-1;;china mountains
7909;10776;impassable;-1;-1;-1;-1;-1;;china burma jungles
7909;4568;impassable;-1;-1;-1;-1;-1;;laos burma jungles
7974;4568;impassable;-1;-1;-1;-1;-1;;laos burma jungles
12809;11249;impassable;-1;-1;-1;-1;-1;;iran desert
12809;10913;impassable;-1;-1;-1;-1;-1;;iran desert
12809;1986;impassable;-1;-1;-1;-1;-1;;iran desert
12809;2070;impassable;-1;-1;-1;-1;-1;;iran desert
12809;12895;impassable;-1;-1;-1;-1;-1;;iran desert
12809;12739;impassable;-1;-1;-1;-1;-1;;iran desert
12852;11249;impassable;-1;-1;-1;-1;-1;;iran desert
12852;12739;impassable;-1;-1;-1;-1;-1;;iran desert
12852;7990;impassable;-1;-1;-1;-1;-1;;iran desert
12852;10890;impassable;-1;-1;-1;-1;-1;;iran desert
10759;10890;impassable;-1;-1;-1;-1;-1;;iran desert
10759;10828;impassable;-1;-1;-1;-1;-1;;iran desert
10759;11249;impassable;-1;-1;-1;-1;-1;;iran desert
10873;10890;impassable;-1;-1;-1;-1;-1;;iran desert
10873;1963;impassable;-1;-1;-1;-1;-1;;iran desert
10873;10828;impassable;-1;-1;-1;-1;-1;;iran desert
10873;10890;impassable;-1;-1;-1;-1;-1;;iran desert
10873;12704;impassable;-1;-1;-1;-1;-1;;iran desert
10873;12748;impassable;-1;-1;-1;-1;-1;;iran desert
4983;1963;impassable;-1;-1;-1;-1;-1;;iran desert
4983;8074;impassable;-1;-1;-1;-1;-1;;iran desert
4983;5067;impassable;-1;-1;-1;-1;-1;;iran desert
4983;12818;impassable;-1;-1;-1;-1;-1;;iran desert
4983;12704;impassable;-1;-1;-1;-1;-1;;iran desert
8009;12748;impassable;-1;-1;-1;-1;-1;;iran desert
8009;5073;impassable;-1;-1;-1;-1;-1;;iran desert
8009;1888;impassable;-1;-1;-1;-1;-1;;iran desert
8009;10890;impassable;-1;-1;-1;-1;-1;;iran desert
4317;7305;impassable;-1;-1;-1;-1;-1;;papaunewgunieawow
4317;7378;impassable;-1;-1;-1;-1;-1;;papaunewgunieawow
7362;7378;impassable;-1;-1;-1;-1;-1;;papaunewgunieawow
4346;7333;impassable;-1;-1;-1;-1;-1;;papaunewgunieawow
12995;7333;impassable;-1;-1;-1;-1;-1;;papaunewgunieawow
4147;7190;impassable;-1;-1;-1;-1;-1;;arakanmounains
4147;4019;impassable;-1;-1;-1;-1;-1;;arakanmounains
4147;1014;impassable;-1;-1;-1;-1;-1;;arakanmounains
4147;12090;impassable;-1;-1;-1;-1;-1;;arakanmounains
4147;1142;impassable;-1;-1;-1;-1;-1;;arakanmounains
4147;7122;impassable;-1;-1;-1;-1;-1;;arakanmounains
10033;7122;impassable;-1;-1;-1;-1;-1;;arakanmounains
10033;7190;impassable;-1;-1;-1;-1;-1;;arakanmounains
10033;7163;impassable;-1;-1;-1;-1;-1;;arakanmounains
11966;7163;impassable;-1;-1;-1;-1;-1;;arakanmounains
11966;7122;impassable;-1;-1;-1;-1;-1;;arakanmounains
11966;997;impassable;-1;-1;-1;-1;-1;;arakanmounains
11966;7534;impassable;-1;-1;-1;-1;-1;;arakanmounains
3999;997;impassable;-1;-1;-1;-1;-1;;arakanmounains
3999;7534;impassable;-1;-1;-1;-1;-1;;arakanmounains
3999;4454;impassable;-1;-1;-1;-1;-1;;arakanmounains
10090;4454;impassable;-1;-1;-1;-1;-1;;arakanmounains
10090;1581;impassable;-1;-1;-1;-1;-1;;arakanmounains
10090;10514;impassable;-1;-1;-1;-1;-1;;arakanmounains
10090;7634;impassable;-1;-1;-1;-1;-1;;arakanmounains
10090;7179;impassable;-1;-1;-1;-1;-1;;arakanmounains
10090;997;impassable;-1;-1;-1;-1;-1;;arakanmounains
1553;1581;impassable;-1;-1;-1;-1;-1;;arakanmounainsnorth
1553;4087;impassable;-1;-1;-1;-1;-1;;arakanmounainsnorth
1525;4087;impassable;-1;-1;-1;-1;-1;;arakanmounainsnorth
12322;4087;impassable;-1;-1;-1;-1;-1;;arakanmounainsnorth
12322;1197;impassable;-1;-1;-1;-1;-1;;arakanmounainsnorth
1996;1197;impassable;-1;-1;-1;-1;-1;;arakanmounainsnorth
1996;4318;impassable;-1;-1;-1;-1;-1;;arakanmounainsnorth
1112;10126;sea;5388;-1;-1;-1;-1;;Suez canal bypass
5205;10233;sea;13155;-1;-1;-1;-1;;Michigan-Marquette
4985;10752;sea;2800;-1;-1;-1;-1;;Djibouti-Yemen
11278;9228;sea;1211;-1;-1;-1;-1;;Sweden-Norway
3083;9228;sea;990;-1;-1;-1;-1;;Sweden-Norway
373;12680;sea;2361;-1;-1;-1;-1;;Newfoundland
2031;13213;sea;5814;-1;-1;-1;-1;;Nicaragua
4269;7385;sea;8751;-1;-1;-1;-1;;Phil
10175;12234;sea;2291;-1;-1;-1;-1;;Lesser Sunda Islands
4057;1127;sea;4200;-1;-1;-1;-1;;Benghazi
10272;7423;sea;2876;-1;-1;-1;-1;;Philipines
1368;7307;sea;2876;-1;-1;-1;-1;;Philipines
7360;10186;sea;2899;-1;-1;-1;-1;;Philipines 
1421;10184;sea;2899;-1;-1;-1;-1;;Philipines
7419;10272;sea;2876;-1;-1;-1;-1;;Philipines

10785;13229;;-1;-1;-1;-1;-1;;Sahara-Corridor

-1;-1;;-1;-1;-1;-1;-1;-2
